Customer_ID,Propensity_Score,Premium_Plan,Device_Purchase
1,0.577863524,Yes,No
2,0.777363319,No,No
3,0.490772986,No,No
4,0.830643665,Yes,No
5,0.131276202,No,No
6,0.733897765,No,No
7,0.942982092,Yes,No
8,0.331883321,Yes,No
9,0.366336442,No,Yes
10,0.083549677,No,No
11,0.64149278,No,No
12,0.552450726,No,No
13,0.040345759,Yes,No
14,0.752212027,No,No
15,0.829284496,No,No
16,0.907119604,No,No
17,0.545734086,No,Yes
18,0.452580035,No,No
19,0.876137155,Yes,No
20,0.398696819,Yes,Yes
21,0.655443125,No,No
22,0.615362256,No,Yes
23,0.3721611,No,No
24,0.086889938,No,No
25,0.021415539,No,Yes
26,0.428237741,No,No
27,0.481201575,No,No
28,0.822678268,No,No
29,0.41441165,No,No
30,0.281159875,No,No
31,0.462096468,No,Yes
32,0.23799048,No,Yes
33,0.091360611,No,No
34,0.113043034,No,No
35,0.31915446,Yes,No
36,0.012676418,No,No
37,0.220203287,No,No
38,0.787523141,No,No
39,0.234617192,No,No
40,0.110729511,No,No
41,0.94908056,No,No
42,0.622470116,No,Yes
43,0.060025949,No,No
44,0.062243966,No,No
45,0.612122126,No,No
46,0.540128802,No,No
47,0.068374772,No,No
48,0.224315475,No,No
49,0.929042914,No,No
50,0.57201081,No,Yes
51,0.440325398,No,No
52,0.250155412,Yes,No
53,0.133698042,No,Yes
54,0.402631684,No,No
55,0.922366559,Yes,No
56,0.048711396,No,No
57,0.990978816,No,No
58,0.20781272,No,No
59,0.40876736,No,Yes
60,0.045051308,No,No
61,0.584782203,No,No
62,0.483555265,Yes,No
63,0.666707035,No,No
64,0.542678127,Yes,No
65,0.398177785,No,No
66,0.737756698,No,No
67,0.025021128,No,No
68,0.541029021,No,No
69,0.113876204,Yes,No
70,0.436008333,No,No
71,0.791125317,No,No
72,0.142460746,No,No
73,0.935810349,Yes,No
74,0.888504692,No,No
75,0.414905071,No,Yes
76,0.005974841,No,No
77,0.789744827,Yes,No
78,0.880895803,No,No
79,0.174738092,Yes,Yes
80,0.916192209,Yes,No
81,0.914097277,No,No
82,0.471290851,No,No
83,0.798034811,No,No
84,0.444947978,Yes,No
85,0.564046266,Yes,No
86,0.31983901,No,No
87,0.159469345,No,No
88,0.746536584,No,No
89,0.001392845,No,No
90,0.57955269,Yes,Yes
91,0.864686026,No,No
92,0.221277287,No,No
93,0.332899457,No,No
94,0.587485853,No,No
95,0.246870247,No,Yes
96,0.847486857,No,No
97,0.366603167,No,No
98,0.58161372,No,No
99,0.226121148,No,No
100,0.041386337,No,No
101,0.173700266,No,No
102,0.046198938,No,No
103,0.4686039,No,No
104,0.586637391,No,Yes
105,0.044675208,No,No
106,0.090482222,No,No
107,0.485525027,No,No
108,0.799179932,No,No
109,0.628009179,No,No
110,0.10471022,No,No
111,0.887542274,Yes,No
112,0.917450235,No,No
113,0.324956828,No,No
114,0.616017792,No,No
115,0.49232715,No,No
116,0.942023769,Yes,No
117,0.508748533,Yes,No
118,0.959965814,Yes,No
119,0.199342551,No,Yes
120,0.345536758,Yes,No
121,0.78134524,No,No
122,0.783610736,No,No
123,0.732183274,No,No
124,0.859611465,No,No
125,0.702546173,No,No
126,0.636085144,No,No
127,0.458925013,No,Yes
128,0.467087743,No,No
129,0.406161493,No,No
130,0.6202118,No,No
131,0.406663929,Yes,No
132,0.147494314,No,Yes
133,0.106529616,No,No
134,0.924472275,No,Yes
135,0.024738908,No,No
136,0.105467262,No,Yes
137,0.445304875,No,No
138,0.262926267,No,No
139,0.4058489,No,No
140,0.117447382,No,No
141,0.130906937,Yes,No
142,0.800657909,No,No
143,0.759108744,No,No
144,0.104252866,No,No
145,0.667790415,Yes,No
146,0.609311323,No,No
147,0.713362723,Yes,No
148,0.474448905,No,No
149,0.269986828,No,No
150,0.663679169,No,No
151,0.371357427,No,No
152,0.218952901,No,No
153,0.408629014,No,No
154,0.763269836,No,No
155,0.475793197,No,No
156,0.299864263,No,Yes
157,0.831868615,No,No
158,0.881643755,No,No
159,0.433250424,No,No
160,0.374688021,No,No
161,0.612698947,No,No
162,0.057974446,No,No
163,0.691323161,No,No
164,0.782287605,Yes,No
165,0.397441927,No,No
166,0.17461585,No,No
167,0.028818375,No,Yes
168,0.637245599,Yes,No
169,0.268993407,No,No
170,0.463889587,No,No
171,0.386355522,No,No
172,0.174884796,Yes,No
173,0.508368668,No,Yes
174,0.459593523,No,Yes
175,0.624147623,No,No
176,0.251884995,No,No
177,0.21463908,No,No
178,0.81434506,Yes,No
179,0.702192245,Yes,No
180,0.772206452,No,No
181,0.123289812,No,No
182,0.224039643,No,No
183,0.575531516,No,No
184,0.857201347,No,No
185,0.892114643,No,No
186,0.831909962,No,No
187,0.043397946,No,No
188,0.820879185,No,No
189,0.899091178,No,No
190,0.05674909,Yes,No
191,0.416280894,No,No
192,0.536610323,No,No
193,0.232750373,No,No
194,0.516685656,Yes,No
195,0.885955788,No,No
196,0.866942506,No,No
197,0.939837281,No,No
198,0.484109798,No,Yes
199,0.410566945,No,No
200,0.665787819,No,Yes
201,0.416760578,Yes,No
202,0.041944596,No,No
203,0.719921452,No,No
204,0.280983941,Yes,No
205,0.049085312,No,No
206,0.020621077,No,Yes
207,0.931361269,No,No
208,0.252076009,Yes,No
209,0.447899193,No,No
210,0.950576453,Yes,No
211,0.467516979,No,No
212,0.078609324,No,No
213,0.551936047,No,No
214,0.088198653,No,No
215,0.095087878,No,Yes
216,0.851477074,No,No
217,0.289421543,No,No
218,0.6786702,No,No
219,0.508924335,No,No
220,0.222326691,Yes,No
221,0.517820299,No,No
222,0.068993536,No,No
223,0.34721235,No,No
224,0.522836225,No,No
225,0.228394338,No,No
226,0.66018813,Yes,No
227,0.051811922,No,No
228,0.484809898,Yes,No
229,0.714995781,No,Yes
230,0.429946059,No,No
231,0.874586415,Yes,No
232,0.632192781,No,No
233,0.958492916,No,No
234,0.284121813,Yes,No
235,0.938789331,No,No
236,0.60682259,No,No
237,0.745178899,No,No
238,0.902161117,No,No
239,0.551197188,No,No
240,0.862180792,No,No
241,0.54169694,No,No
242,0.599198928,No,No
243,0.445098573,Yes,No
244,0.145638552,No,No
245,0.553503233,No,No
246,0.97744823,No,No
247,0.787185996,No,Yes
248,0.747498485,No,No
249,0.643308803,No,No
250,0.347908673,No,No
251,0.169615194,No,No
252,0.224551602,No,No
253,0.00632209,No,No
254,0.673480421,No,No
255,0.811877559,No,No
256,0.268911351,No,No
257,0.0918504,Yes,No
258,0.335727068,Yes,No
259,0.292051229,No,No
260,0.450876361,Yes,Yes
261,0.264102054,No,No
262,0.339732705,No,No
263,0.907554779,No,No
264,0.334835353,No,No
265,0.785518047,Yes,No
266,0.6258337,Yes,No
267,0.337537946,No,No
268,0.81778827,Yes,No
269,0.59507607,No,Yes
270,0.008618728,No,No
271,0.068728202,No,No
272,0.752639559,Yes,No
273,0.44652779,No,No
274,0.405507792,No,No
275,0.145827184,Yes,Yes
276,0.157318594,No,Yes
277,0.79775245,No,No
278,0.829017134,Yes,No
279,0.560002541,No,No
280,0.29512781,No,No
281,0.932700817,No,No
282,0.623962391,Yes,No
283,0.796642119,Yes,No
284,0.00328292,Yes,No
285,0.450319601,No,No
286,0.870949086,Yes,No
287,0.338233283,No,No
288,0.726551177,No,No
289,0.657674825,No,No
290,0.152218366,Yes,No
291,0.774903827,No,No
292,0.11252679,Yes,No
293,0.727914097,No,No
294,0.990968337,No,No
295,0.957981432,Yes,No
296,0.800241743,No,No
297,0.534517424,No,Yes
298,0.674824576,No,No
299,0.72810839,No,Yes
300,0.008401524,No,No
301,0.102366221,No,Yes
302,0.597059132,Yes,No
303,0.00653454,Yes,No
304,0.908905651,No,No
305,0.489662713,No,No
306,0.257767076,No,No
307,0.39382117,No,No
308,0.850776411,Yes,No
309,0.927192874,No,Yes
310,0.11623498,Yes,No
311,0.777960634,No,No
312,0.578227118,No,No
313,0.585502758,Yes,No
314,0.779452122,No,Yes
315,0.222844687,Yes,No
316,0.531044968,Yes,No
317,0.319352615,No,No
318,0.094512345,No,Yes
319,0.105079446,No,No
320,0.136471471,Yes,No
321,0.614899849,Yes,No
322,0.105830198,Yes,Yes
323,0.570103843,No,No
324,0.588297058,No,No
325,0.90389651,No,No
326,0.626376596,No,No
327,0.985587841,Yes,No
328,0.03099258,Yes,No
329,0.704146137,No,No
330,0.026480078,No,No
331,0.729377578,No,No
332,0.385850209,No,Yes
333,0.611307765,No,No
334,0.309538072,Yes,No
335,0.159105039,No,No
336,0.723512518,No,No
337,0.90462038,No,No
338,0.183582444,No,No
339,0.920703001,No,No
340,0.140182109,No,No
341,0.735661883,No,Yes
342,0.959445158,No,No
343,0.147370882,No,Yes
344,0.435090047,Yes,No
345,0.337457482,No,No
346,0.38847775,No,No
347,0.753139739,No,No
348,0.661188933,No,No
349,0.968686964,No,No
350,0.185479503,Yes,No
351,0.543260869,No,No
352,0.449126145,Yes,Yes
353,0.918856109,No,No
354,0.010619232,No,No
355,0.989170401,No,No
356,0.479734314,No,No
357,0.625539647,No,No
358,0.360052556,No,No
359,0.85252667,No,No
360,0.561987945,No,Yes
361,0.662810936,No,No
362,0.648904708,Yes,No
363,0.36398214,No,No
364,0.075990996,No,No
365,0.807706226,No,No
366,0.289715919,No,No
367,0.848930228,No,No
368,0.608643009,No,No
369,0.353703958,No,No
370,0.594247149,Yes,Yes
371,0.645492692,No,No
372,0.706683408,No,No
373,0.822338135,No,No
374,0.159754942,No,Yes
375,0.944144385,No,No
376,0.410840614,No,No
377,0.860450298,No,No
378,0.220479595,No,No
379,0.029028972,Yes,No
380,0.573344044,No,No
381,0.324666279,Yes,No
382,0.984462005,No,No
383,0.104453455,No,No
384,0.047302866,No,No
385,0.045017819,No,No
386,0.216873695,No,No
387,0.579191116,Yes,No
388,0.505563374,No,No
389,0.350075805,No,No
390,0.088793107,Yes,Yes
391,0.233737095,Yes,No
392,0.184147065,No,No
393,0.745666837,No,No
394,0.779946383,No,Yes
395,0.777014013,No,No
396,0.969040544,Yes,No
397,0.884237946,No,No
398,0.497804747,No,No
399,0.414936021,No,No
400,0.915768518,No,No
401,0.611225252,Yes,No
402,0.294398667,Yes,Yes
403,0.564464028,Yes,No
404,0.992149423,No,No
405,0.84947006,No,No
406,0.281279716,Yes,No
407,0.952954426,No,No
408,0.981462111,No,No
409,0.231166959,Yes,No
410,0.895592119,No,No
411,0.883202718,No,No
412,0.039753573,Yes,No
413,0.669689193,No,No
414,0.305280713,No,No
415,0.674612626,Yes,No
416,0.913558694,No,No
417,0.498779248,Yes,No
418,0.414412831,No,No
419,0.921531271,No,No
420,0.974114918,No,No
421,0.062236328,No,No
422,0.922848069,No,No
423,0.082768534,No,No
424,0.337286213,No,Yes
425,0.762574122,No,No
426,0.777036982,No,No
427,0.725821891,No,No
428,0.039112488,No,No
429,0.132966048,No,No
430,0.936216498,No,No
431,0.081461388,No,No
432,0.078545917,No,No
433,0.835645938,No,No
434,0.641265753,Yes,No
435,0.351656056,Yes,No
436,0.165710487,No,No
437,0.88417042,No,No
438,0.988537758,No,No
439,0.049971728,No,No
440,0.554113382,No,No
441,0.261303585,No,No
442,0.832386834,No,No
443,0.346073092,Yes,No
444,0.714629289,No,No
445,0.539523422,No,No
446,0.541523382,No,No
447,0.857999431,No,No
448,0.470404426,No,No
449,0.845599534,Yes,No
450,0.363426828,No,No
451,0.174782942,No,Yes
452,0.455477378,No,No
453,0.498355781,No,No
454,0.478383198,No,No
455,0.808330412,No,No
456,0.564678941,No,Yes
457,0.888444072,Yes,No
458,0.514185495,No,No
459,0.224715083,No,No
460,0.12949584,Yes,No
461,0.868362821,Yes,No
462,0.056172799,No,No
463,0.117609612,No,No
464,0.063658519,No,No
465,0.423734197,No,No
466,0.532615616,No,No
467,0.019874731,No,No
468,0.515586167,No,No
469,0.393759471,Yes,No
470,0.773645182,Yes,No
471,0.829956622,No,No
472,0.684967436,Yes,No
473,0.473495535,No,No
474,0.216148595,No,No
475,0.847114867,No,No
476,0.34166914,No,No
477,0.356291887,No,No
478,0.916011547,No,No
479,0.975597256,No,No
480,0.898130956,No,No
481,0.998234724,Yes,No
482,0.868908844,No,No
483,0.704357518,No,No
484,0.2938194,No,No
485,0.952957049,Yes,No
486,0.876626832,No,No
487,0.240746792,No,No
488,0.489162473,No,No
489,0.070055661,No,No
490,0.953308863,No,No
491,0.572768328,No,No
492,0.245200546,No,No
493,0.292399314,No,No
494,0.980656373,No,Yes
495,0.615614292,No,No
496,0.420683124,No,Yes
497,0.499845462,No,No
498,0.098550072,No,No
499,0.07502276,No,No
500,0.592707743,No,No
501,0.512004036,Yes,No
502,0.359153191,No,No
503,0.566113953,No,No
504,0.072675949,No,No
505,0.943991171,No,No
506,0.293711688,Yes,No
507,0.071778791,Yes,No
508,0.169504273,Yes,No
509,0.095473914,Yes,No
510,0.178604504,No,No
511,0.416754055,No,No
512,0.738050894,No,No
513,0.272348347,No,No
514,0.435926622,No,No
515,0.928757288,No,No
516,0.295821739,No,No
517,0.794719753,No,No
518,0.157816872,No,No
519,0.178321746,Yes,No
520,0.456152873,Yes,No
521,0.23410225,Yes,No
522,0.903028074,No,No
523,0.050752291,No,No
524,0.597272566,No,No
525,0.604229396,No,No
526,0.066025928,No,No
527,0.732564215,No,No
528,0.468897545,Yes,No
529,0.723073373,No,No
530,0.826924986,No,No
531,0.322899352,No,No
532,0.484485883,Yes,No
533,0.26076078,No,No
534,0.201513464,No,No
535,0.000594758,No,No
536,0.963631512,No,No
537,0.440928469,No,No
538,0.013069773,No,No
539,0.008938578,Yes,No
540,0.288352569,No,No
541,0.013937679,No,No
542,0.374514618,No,No
543,0.062938501,No,No
544,0.039251591,No,No
545,0.669381394,No,No
546,0.906841289,No,No
547,0.409386583,No,No
548,0.83677043,Yes,No
549,0.029265461,No,No
550,0.777690056,Yes,No
551,0.062799992,No,No
552,0.838439423,No,No
553,0.882366345,No,Yes
554,0.785973842,No,Yes
555,0.820749024,No,No
556,0.561484566,No,No
557,0.264884943,No,No
558,0.643231003,No,No
559,0.439541649,No,No
560,0.005336561,No,No
561,0.476825706,No,No
562,0.651187925,No,No
563,0.01388366,No,No
564,0.621360336,No,No
565,0.652531906,Yes,No
566,0.158107578,No,No
567,0.431074185,No,No
568,0.964332601,No,No
569,0.884189228,No,No
570,0.410821423,Yes,No
571,0.349846268,Yes,No
572,0.124080681,No,No
573,0.035189085,Yes,No
574,0.297462777,No,Yes
575,0.940283347,Yes,No
576,0.958613451,No,Yes
577,0.812519341,No,No
578,0.350824814,No,No
579,0.143626433,No,No
580,0.595533476,Yes,No
581,0.646505007,No,No
582,0.424573569,No,Yes
583,0.691646796,No,Yes
584,0.746681886,No,No
585,0.783061664,No,No
586,0.502298111,No,No
587,0.791640778,No,No
588,0.025476426,No,No
589,0.680404367,No,No
590,0.235633957,No,No
591,0.270520292,No,No
592,0.091301707,No,No
593,0.192392264,No,No
594,0.992008233,No,Yes
595,0.415390131,No,No
596,0.927765399,No,No
597,0.162899528,No,No
598,0.204058842,Yes,Yes
599,0.557813354,No,No
600,0.349532541,No,No
601,0.643915209,Yes,Yes
602,0.422046576,No,No
603,0.811597237,No,No
604,0.431559071,No,No
605,0.572349182,No,No
606,0.3210732,No,No
607,0.704040987,No,No
608,0.654734209,Yes,No
609,0.397001033,No,No
610,0.276032103,Yes,No
611,0.614104375,No,No
612,0.943151649,No,No
613,0.132643024,Yes,Yes
614,0.799116618,No,No
615,0.542991773,Yes,Yes
616,0.525559695,No,Yes
617,0.961684148,No,No
618,0.605874798,No,No
619,0.830517828,No,Yes
620,0.514477249,Yes,No
621,0.249853367,No,Yes
622,0.694490271,No,No
623,0.923176904,Yes,No
624,0.841230096,No,No
625,0.198363606,No,No
626,0.316889119,No,No
627,0.516880674,No,No
628,0.571603295,No,No
629,0.193814114,No,No
630,0.23001234,No,No
631,0.758831069,No,No
632,0.730317417,No,No
633,0.839208815,No,No
634,0.932929807,No,No
635,0.308261119,No,No
636,0.859594957,No,Yes
637,0.666011791,No,No
