Customer_ID,Age,Gender,Income,Service_Usage,Purchase_History,Segment
1,56,Male,129952,38,145,Medium-Value
2,69,Female,74235,84,356,Low-Value
3,46,Female,78565,70,86,Low-Value
4,32,Female,75342,73,471,Low-Value
5,60,Male,62723,52,477,Low-Value
6,25,Female,55572,31,22,Medium-Value
7,38,Female,37610,26,331,Medium-Value
8,56,Female,54052,36,292,High-Value
9,36,Male,118993,26,236,High-Value
10,40,Male,107063,28,29,Low-Value
11,28,Female,57550,5,183,Low-Value
12,28,Female,74033,74,426,Medium-Value
13,41,Female,49011,18,160,Medium-Value
14,53,Male,122811,15,398,High-Value
15,57,Male,54764,57,18,Medium-Value
16,41,Male,117540,97,38,Medium-Value
17,20,Female,73533,5,101,Medium-Value
18,39,Male,44064,37,290,Low-Value
19,19,Female,143989,86,377,High-Value
20,41,Female,147825,86,173,Medium-Value
21,61,Male,69581,22,343,Medium-Value
22,47,Female,140388,52,416,Low-Value
23,55,Male,48702,15,366,Low-Value
24,19,Female,105701,17,67,Medium-Value
25,38,Female,143482,51,191,Low-Value
26,50,Male,28631,45,439,Medium-Value
27,29,Female,143864,63,43,High-Value
28,39,Female,107388,28,123,Medium-Value
29,61,Female,144798,59,278,High-Value
30,42,Female,90043,86,343,Medium-Value
31,66,Female,86063,21,196,Low-Value
32,44,Female,48981,42,333,Low-Value
33,59,Female,55764,81,125,High-Value
34,45,Female,121771,69,96,High-Value
35,33,Male,148787,82,378,High-Value
36,32,Male,70513,17,157,High-Value
37,64,Female,141505,68,40,High-Value
38,68,Female,149014,7,360,Medium-Value
39,61,Male,133076,89,173,Low-Value
40,69,Female,119007,40,375,Low-Value
41,20,Male,86198,40,394,High-Value
42,54,Male,44940,43,461,Medium-Value
43,68,Male,127418,73,173,High-Value
44,24,Female,91792,83,120,High-Value
45,38,Female,48432,51,273,Medium-Value
46,26,Female,28367,73,358,High-Value
47,56,Male,131764,23,386,Medium-Value
48,35,Male,123601,95,401,Low-Value
49,21,Male,45511,32,364,Medium-Value
50,42,Female,28573,31,346,Low-Value
51,31,Male,35582,17,375,High-Value
52,67,Male,25378,58,422,Low-Value
53,26,Female,85296,86,421,High-Value
54,43,Male,33500,35,319,High-Value
55,19,Male,85841,30,261,High-Value
56,37,Female,41881,64,281,Medium-Value
57,45,Female,90233,53,329,Medium-Value
58,64,Male,71542,51,124,Low-Value
59,24,Female,85285,37,476,Low-Value
60,61,Male,79547,90,278,Medium-Value
61,25,Female,82151,6,93,Medium-Value
62,64,Male,27222,34,447,Medium-Value
63,52,Female,27933,56,35,Low-Value
64,31,Male,103385,96,311,Low-Value
65,34,Female,109772,25,128,Medium-Value
66,53,Female,129767,13,20,Medium-Value
67,67,Female,118706,63,261,Low-Value
68,57,Female,98437,66,167,High-Value
69,21,Female,26940,5,319,High-Value
70,19,Female,134326,75,236,Medium-Value
71,23,Female,104590,11,32,Low-Value
72,59,Male,126399,88,231,Medium-Value
73,21,Male,79145,78,191,Low-Value
74,46,Female,63610,94,330,High-Value
75,35,Female,77520,44,424,Medium-Value
76,43,Male,24544,99,145,Medium-Value
77,61,Male,110854,85,101,Low-Value
78,51,Female,74812,69,79,High-Value
79,27,Male,91610,2,457,Medium-Value
80,53,Male,71500,40,160,High-Value
81,31,Female,59618,37,255,Medium-Value
82,48,Female,139090,49,279,Low-Value
83,65,Female,119054,98,459,Medium-Value
84,32,Male,45444,75,188,Low-Value
85,25,Female,105982,36,461,Low-Value
86,31,Female,114079,75,210,High-Value
87,40,Male,76586,73,241,Low-Value
88,57,Female,44789,70,56,High-Value
89,38,Male,21617,34,137,High-Value
90,33,Male,148639,58,106,Medium-Value
91,62,Male,120834,37,69,Low-Value
92,35,Male,23333,96,190,Medium-Value
93,64,Male,60002,60,192,High-Value
94,41,Male,144477,12,491,Low-Value
95,43,Female,83620,32,278,Low-Value
96,42,Female,107688,81,32,High-Value
97,62,Female,109627,4,175,Medium-Value
98,58,Male,20511,33,258,High-Value
99,46,Female,132850,43,123,Medium-Value
100,32,Male,57850,9,85,Medium-Value
101,62,Female,141548,98,476,Medium-Value
102,18,Male,102172,51,436,High-Value
103,42,Female,106053,94,216,Low-Value
104,24,Male,51786,20,216,High-Value
105,26,Female,94356,39,14,Medium-Value
106,41,Male,56244,23,37,High-Value
107,18,Female,94714,41,27,Medium-Value
108,61,Male,87261,44,152,High-Value
109,25,Female,38477,35,64,Medium-Value
110,41,Female,66533,23,70,Medium-Value
111,28,Female,54469,58,154,High-Value
112,68,Male,28496,48,438,High-Value
113,34,Male,140522,87,253,Medium-Value
114,25,Male,32270,58,271,High-Value
115,52,Male,96008,57,29,Medium-Value
116,52,Male,40724,87,484,Medium-Value
117,50,Female,50416,39,74,Medium-Value
118,22,Male,55575,28,284,Low-Value
119,59,Female,101190,64,59,Medium-Value
120,56,Female,96614,62,243,Low-Value
121,58,Male,113566,83,329,Low-Value
122,45,Female,140989,62,149,Low-Value
123,24,Male,93108,94,10,High-Value
124,26,Male,37408,85,132,Low-Value
125,25,Male,147192,88,62,Low-Value
126,29,Female,39359,85,388,Medium-Value
127,51,Male,28698,26,383,Medium-Value
128,50,Male,90392,51,262,Low-Value
129,65,Male,113063,50,218,Medium-Value
130,40,Female,59492,36,232,Medium-Value
131,41,Male,94781,26,336,Low-Value
132,54,Female,63634,33,72,Medium-Value
133,52,Female,137255,68,476,High-Value
134,61,Male,62864,73,16,Medium-Value
135,57,Female,114482,8,38,Medium-Value
136,39,Female,57355,66,177,Low-Value
137,44,Male,57690,93,445,Medium-Value
138,52,Male,57814,23,321,Low-Value
139,18,Male,51645,70,382,Medium-Value
140,52,Female,104814,55,83,Medium-Value
141,54,Male,92739,43,434,High-Value
142,64,Female,76630,21,17,Medium-Value
143,31,Female,68171,22,369,Low-Value
144,20,Female,41658,9,156,High-Value
145,18,Female,143980,34,172,Low-Value
146,22,Female,146541,59,396,High-Value
147,43,Male,128132,26,70,High-Value
148,31,Male,35797,1,71,High-Value
149,56,Female,78799,5,255,Low-Value
150,44,Female,138301,41,456,High-Value
151,26,Male,118342,63,131,Medium-Value
152,32,Male,116494,22,49,Medium-Value
153,32,Female,72236,68,21,Medium-Value
154,43,Female,26265,48,392,Medium-Value
155,59,Male,147119,66,320,Medium-Value
156,30,Male,145611,16,220,Low-Value
157,68,Female,92134,80,187,Medium-Value
158,49,Male,120719,53,414,High-Value
159,56,Male,102678,86,32,Medium-Value
160,66,Female,73494,65,203,Medium-Value
161,69,Female,141754,79,276,Medium-Value
162,49,Female,72268,64,242,Low-Value
163,21,Male,135452,88,16,Low-Value
164,47,Female,46998,68,409,High-Value
165,54,Male,111426,63,316,Medium-Value
166,40,Female,114414,62,173,Low-Value
167,56,Female,81339,82,137,Low-Value
168,62,Male,34306,81,179,Medium-Value
169,32,Male,84006,71,359,Medium-Value
170,60,Female,138717,45,61,Low-Value
171,46,Female,67345,52,497,Medium-Value
172,53,Male,31885,74,424,Medium-Value
173,30,Female,129681,65,104,Low-Value
174,49,Male,63826,2,317,Low-Value
175,24,Male,75597,49,195,High-Value
176,68,Female,27443,22,256,Medium-Value
177,39,Male,117375,96,464,Medium-Value
178,45,Male,136005,29,76,Low-Value
179,19,Male,37084,35,271,Low-Value
180,59,Female,109447,81,181,Low-Value
181,62,Male,24383,76,132,Medium-Value
182,23,Female,112313,24,151,High-Value
183,45,Female,54361,94,155,Medium-Value
184,45,Female,100294,30,359,Medium-Value
185,61,Male,81331,84,235,Medium-Value
186,61,Male,115057,42,248,Medium-Value
187,37,Female,40529,71,165,Medium-Value
188,47,Female,78574,50,205,Low-Value
189,28,Male,108627,71,427,High-Value
190,45,Female,141685,60,165,Low-Value
191,42,Female,125330,30,488,Medium-Value
192,56,Male,116917,12,213,Low-Value
193,50,Female,120916,49,413,Medium-Value
194,18,Male,50932,95,254,High-Value
195,44,Male,129633,82,157,High-Value
196,69,Female,142087,46,177,High-Value
197,30,Male,21908,43,75,High-Value
198,58,Male,125258,2,435,Low-Value
199,20,Male,133489,97,178,High-Value
200,56,Female,50358,75,284,Medium-Value
201,23,Female,50412,98,330,High-Value
202,25,Female,148319,80,133,Medium-Value
203,44,Male,103710,54,125,Low-Value
204,26,Male,142856,35,312,Medium-Value
205,54,Female,101032,52,320,Medium-Value
206,50,Female,22928,33,127,Low-Value
207,68,Male,85158,85,377,High-Value
208,59,Female,50632,84,345,Low-Value
209,61,Female,52309,72,225,Medium-Value
210,41,Female,29280,51,17,High-Value
211,32,Female,60449,26,497,Medium-Value
212,49,Female,107171,97,481,High-Value
213,49,Male,46957,62,473,Low-Value
214,41,Female,56895,61,353,High-Value
215,58,Female,90499,26,311,High-Value
216,69,Male,113057,37,246,Medium-Value
217,66,Male,118151,30,137,Medium-Value
218,66,Male,130065,95,475,Low-Value
219,69,Male,131858,97,217,High-Value
220,29,Female,41695,11,196,Low-Value
221,56,Female,94893,53,201,Low-Value
222,19,Female,83123,41,366,Medium-Value
223,20,Female,45176,5,207,Low-Value
224,66,Male,38409,66,16,Medium-Value
225,54,Male,144464,13,400,High-Value
226,66,Female,76967,63,13,Medium-Value
227,34,Female,20987,82,78,High-Value
228,66,Female,74462,90,214,Low-Value
229,19,Female,87501,25,341,High-Value
230,19,Male,125620,44,329,Medium-Value
231,45,Female,116854,14,447,High-Value
232,40,Male,46015,69,119,Medium-Value
233,54,Male,114727,59,425,High-Value
234,49,Male,132350,56,181,Low-Value
235,50,Male,86404,52,324,High-Value
236,18,Female,136751,66,330,Low-Value
237,36,Female,148807,68,355,Low-Value
238,19,Female,70281,12,373,Medium-Value
239,61,Female,57146,75,137,High-Value
240,43,Male,68231,68,179,High-Value
241,49,Male,49032,43,432,Low-Value
242,23,Male,48305,73,208,High-Value
243,49,Female,74306,74,433,High-Value
244,21,Male,108176,91,402,Medium-Value
245,28,Male,141139,6,394,High-Value
246,34,Male,38318,15,469,High-Value
247,55,Male,33246,42,371,Medium-Value
248,41,Female,53844,31,54,Medium-Value
249,22,Male,52602,86,79,High-Value
250,69,Male,41584,53,271,Medium-Value
251,51,Female,136327,6,395,Medium-Value
252,23,Female,35169,33,424,Low-Value
253,39,Female,45968,29,118,High-Value
254,28,Male,26385,21,368,Medium-Value
255,65,Male,93758,54,106,Medium-Value
256,33,Male,142684,56,105,Medium-Value
257,50,Male,135391,94,303,High-Value
258,26,Female,45444,21,118,High-Value
259,23,Male,123784,55,382,Low-Value
260,33,Male,143112,58,229,Medium-Value
261,46,Female,126081,64,148,Medium-Value
262,20,Female,82497,86,354,Low-Value
263,37,Female,25362,46,150,Medium-Value
264,53,Male,119254,84,304,Medium-Value
265,36,Male,28250,22,256,High-Value
266,43,Male,88354,60,82,Low-Value
267,20,Male,56368,11,16,Medium-Value
268,36,Male,64109,47,389,Medium-Value
269,37,Female,100589,31,193,Medium-Value
270,49,Female,77645,77,211,Low-Value
271,24,Male,76997,18,74,Low-Value
272,69,Male,47426,22,277,High-Value
273,58,Male,137632,56,61,Medium-Value
274,50,Male,132637,17,461,Medium-Value
275,57,Male,59023,38,439,High-Value
276,56,Female,142268,25,24,Low-Value
277,35,Female,79267,32,23,High-Value
278,57,Female,44892,15,343,Medium-Value
279,18,Male,79232,13,395,Medium-Value
280,28,Male,139952,58,431,Medium-Value
281,45,Female,129211,90,258,Medium-Value
282,42,Female,114897,50,198,Low-Value
283,67,Male,79225,11,53,Medium-Value
284,40,Female,36007,13,139,High-Value
285,48,Female,99777,97,271,Medium-Value
286,47,Male,64858,50,201,High-Value
287,59,Female,65073,38,396,High-Value
288,52,Female,109438,1,378,High-Value
289,24,Female,110042,39,379,High-Value
290,33,Male,103098,27,164,Medium-Value
291,43,Female,40239,36,92,Medium-Value
292,65,Female,82969,32,23,High-Value
293,69,Female,33065,41,411,Low-Value
294,66,Male,130951,15,88,High-Value
295,19,Male,61291,31,398,Low-Value
296,18,Female,58805,6,182,Medium-Value
297,65,Male,118831,89,355,High-Value
298,29,Female,38443,52,283,Low-Value
299,22,Male,29290,82,21,Medium-Value
300,54,Male,20211,22,49,Medium-Value
301,49,Female,103634,31,190,High-Value
302,26,Female,39072,73,205,Low-Value
303,58,Female,63290,46,456,Medium-Value
304,52,Male,105186,67,44,High-Value
305,36,Female,35115,97,492,High-Value
306,65,Male,25149,91,300,Low-Value
307,33,Male,61992,43,128,High-Value
308,20,Female,37716,1,482,High-Value
309,37,Male,117724,44,189,Medium-Value
310,41,Female,33621,57,170,Low-Value
311,50,Male,26820,9,279,High-Value
312,41,Female,149728,5,201,High-Value
313,69,Male,133065,79,385,Low-Value
314,28,Male,62800,9,125,High-Value
315,66,Female,75043,45,292,Medium-Value
316,25,Male,50399,92,311,Low-Value
317,53,Female,139374,77,366,Low-Value
318,55,Male,34002,24,16,High-Value
319,57,Male,63098,74,345,Medium-Value
320,37,Male,65511,42,274,High-Value
321,52,Female,73243,22,482,Low-Value
322,65,Female,135131,60,294,Low-Value
323,42,Female,48750,86,451,High-Value
324,52,Female,111610,37,20,Medium-Value
325,42,Female,37310,39,19,Low-Value
326,46,Male,75398,84,13,High-Value
