Customer_ID,Call_Duration_sec,Data_Usage_MB,Plan_Type,Monthly_Bill,Network_Type,City,State,Num_Calls,Num_SMS,Service_Requests
ba15bdd7,912,4699.69,Postpaid,68.09,4G,San Jose,CA,409,17,5
9e164cc7,1417,4722.47,Prepaid,65.28,4G,New York,NY,138,122,2
64935a2e,2782,4749.2,Prepaid,51.6,3G,Los Angeles,CA,413,105,0
446badbc,591,3843.94,Prepaid,107.76,4G,Dallas,TX,360,54,2
11b747ca,891,3358.22,Postpaid,158.79,5G,Dallas,TX,105,148,7
029b2386,2239,1434.57,Postpaid,33.95,3G,New York,NY,435,234,2
c31188ea,3215,385.91,Prepaid,70.85,3G,San Jose,CA,167,118,5
290df540,3385,4191.76,Postpaid,12.32,4G,Philadelphia,PA,201,229,0
bf261f63,3156,3658.57,Prepaid,71.93,4G,San Diego,CA,198,136,10
945007a2,1670,151.7,Postpaid,87.34,3G,Philadelphia,PA,372,82,0
dd69d9eb,1043,2670.29,Prepaid,98.96,5G,Philadelphia,PA,201,86,9
b33d3c46,1197,4839.81,Prepaid,74.92,3G,Dallas,TX,464,204,3
d4aac586,3155,3060.39,Prepaid,15.84,5G,Phoenix,AZ,6,156,4
38c79e39,1438,4764.08,Prepaid,150.56,3G,San Diego,CA,402,223,0
0ff318c5,677,4608.78,Postpaid,52.64,4G,San Antonio,TX,473,98,0
be112906,3234,1218.39,Postpaid,93.49,4G,Houston,TX,77,189,5
e6976bb1,1005,4815.47,Postpaid,61.76,4G,San Diego,CA,184,12,7
cf113cf5,431,686.05,Postpaid,126.85,4G,Philadelphia,PA,122,45,9
86d70577,751,1813.93,Postpaid,114.06,5G,Dallas,TX,22,217,10
8db9bc88,2072,791.3,Postpaid,25.24,4G,San Jose,CA,207,191,5
d4e9bfb4,2217,960.02,Prepaid,66.73,4G,Chicago,IL,229,135,5
3bcd7e18,1715,2833.91,Prepaid,145.04,5G,Philadelphia,PA,142,3,6
d94a46a8,1752,3357.02,Prepaid,75.56,3G,Chicago,IL,288,115,10
099e4480,2536,4612.87,Prepaid,28.78,5G,San Antonio,TX,312,150,9
a8ee8ecf,988,3572.38,Prepaid,102.12,4G,San Diego,CA,432,152,3
1fedff87,1307,1674.64,Prepaid,86.21,5G,Dallas,TX,413,166,8
2e2670b0,801,814.35,Postpaid,175.38,4G,Los Angeles,CA,276,146,0
b12b0aca,645,2002.0,Postpaid,102.55,5G,New York,NY,281,276,10
94bb5a31,3589,3154.07,Postpaid,36.35,5G,San Antonio,TX,436,82,0
a13c3f6e,2380,1806.84,Postpaid,81.74,4G,San Jose,CA,104,31,6
6eaa5b63,822,2931.41,Postpaid,165.11,5G,New York,NY,305,30,4
61fde599,3592,1049.55,Postpaid,47.47,5G,Chicago,IL,285,207,8
414f505c,50,1924.87,Postpaid,174.61,3G,San Antonio,TX,282,144,0
98e36cc6,803,801.77,Prepaid,165.97,3G,Houston,TX,68,73,0
430881dd,161,2589.07,Postpaid,93.21,5G,San Antonio,TX,368,89,3
9b8b47b1,1260,2177.43,Prepaid,177.91,4G,New York,NY,479,197,10
69071ef5,1589,4620.12,Prepaid,172.2,3G,Philadelphia,PA,86,150,8
9bfdaf63,3587,867.2,Prepaid,12.63,3G,San Diego,CA,129,18,3
b3f1621d,1404,2313.66,Postpaid,133.24,5G,Phoenix,AZ,382,81,1
43fb11ed,1759,3919.96,Postpaid,56.7,5G,San Jose,CA,102,27,0
769d19e3,1545,1611.69,Postpaid,17.77,3G,New York,NY,334,286,5
8f7309d6,1805,675.17,Postpaid,11.99,5G,Chicago,IL,340,283,0
3d0477e3,2155,2209.23,Postpaid,140.56,4G,Los Angeles,CA,417,161,8
6f2686c6,2974,4279.14,Postpaid,91.25,3G,Phoenix,AZ,128,190,8
ef40859e,1884,4385.94,Postpaid,133.26,5G,Dallas,TX,436,92,10
fb2575d4,2018,4481.73,Prepaid,15.06,3G,San Antonio,TX,103,114,9
b27ebf42,677,4750.93,Postpaid,166.74,3G,New York,NY,143,123,10
44917fb7,580,2525.25,Postpaid,69.63,5G,San Antonio,TX,94,87,8
6e81f1f9,3365,1338.59,Postpaid,52.1,5G,San Antonio,TX,385,256,8
66b39582,1945,3105.47,Postpaid,41.21,4G,San Jose,CA,455,291,6
85585916,3403,4231.49,Postpaid,69.89,5G,Philadelphia,PA,254,84,6
f277da62,779,657.65,Postpaid,55.17,5G,Phoenix,AZ,25,199,5
1998cfcf,495,4819.29,Postpaid,126.18,3G,Chicago,IL,453,166,9
8484bb19,265,538.51,Postpaid,75.74,5G,Chicago,IL,64,113,1
